original_title,budgets,popularity,revenue,runtime,vote_average,vote_count,spoken_languages,release_year,production_companies,genres
WWE Royal Rumble 1995,0,4.573,0,162.0,7.5,11,English,1995,World Wrestling Entertainment (WWE),Action Drama
WWE Survivor Series 1995,0,3.347,0,160.0,8.4,5,English,1995,World Wrestling Entertainment (WWE),Action Drama
Rammstein: Made in Germany 1995-2011,0,5.028,0,0.0,8.7,3,Deutsch,2011,,
WWE SummerSlam 1995,0,1.8,0,163.0,6.3,4,English,1995,World Wrestling Entertainment (WWE),Action Drama
Kiss [1995] Alive 1995,0,1.126,0,0.0,0.0,0,,1995,,
WCW Slamboree 1995,0,1.786,0,164.0,0.0,0,English,1995,World Championship Wrestling (WCW),Action
Rammstein - Videos 1995-2012,0,1.944,0,120.0,8.1,6,Deutsch,2012,,Music
WCW Starrcade 1995,0,1.599,0,164.0,0.0,0,English,1995,World Championship Wrestling (WCW),Action
WWE King of the Ring 1995,0,2.392,0,156.0,6.3,3,English,1995,World Wrestling Entertainment (WWE),Action Drama
WCW Uncensored 1995,0,1.49,0,145.0,2.0,1,English,1995,World Championship Wrestling (WCW),Action
ECW Wrestlepalooza 1995,0,1.46,0,0.0,0.0,0,English,1995,Extreme Championship Wrestling (ECW),
1995,0,0.6,0,6.0,10.0,1,English,2020,,Drama
ECW Hardcore Heaven 1995,0,1.701,0,128.0,6.0,1,English,1995,Extreme Championship Wrestling (ECW),Action
A Noble Lie: Oklahoma City 1995,350000,2.612,0,120.0,7.0,11,,2011,Free Mind Films,Documentary
Monismanien 1995,0,0.85,0,97.0,0.0,0,,1975,Sveriges Radio (SR),Science Fiction Drama
Cirkusrevyen 1995,0,0.654,0,0.0,0.0,0,Dansk,1995,,Comedy
ECW Holiday Hell 1995,0,1.381,0,150.0,0.0,0,English,1995,Extreme Championship Wrestling (ECW),
Fantasy - Mariah Carey at Madison Square Garden 1995,0,2.752,0,56.0,8.3,18,English,2004,,Music
Discipline. - Live 1995,0,0.6,0,77.0,0.0,0,,2005,,Music
WCW Halloween Havoc 1995,0,1.245,0,160.0,7.0,1,English,1995,World Championship Wrestling (WCW),Action
The 1995 Mariners: Saving Baseball In Seattle,0,2.561,0,0.0,0.0,0,,2019,MLB Network,Documentary
Maailmanmestarit 1995,0,0.6,0,0.0,0.0,0,,,,
Ajax Collection - 1995,0,0.6,0,0.0,10.0,1,Nederlands,2006,,
Hungária koncert 1995,0,0.6,0,,0.0,0,,1995,,
VHS/1995,0,0.6,0,0.0,0.0,0,,,,
